,correlation,correlation_pval,spearman,spearman_pval,mae,rmsd,r2
baseline,0.24504517964838782,0.3270599835151117,-0.029563097740653195,0.907299221596618,2.5805555555555557,14.444027777777778,0.060047140068910675
low_complexity,0.4935219430040258,0.037399896353443,0.41364719302264635,0.08793846997024529,2.669444444444445,17.377361111111114,0.24356390822646917
medium_complexity,0.4652549237806572,0.051700298189909066,0.34440045517141965,0.1616565418248944,2.0250000000000004,7.507916666666664,0.2164621441021451
high_complexity,0.3135135315225405,0.20520228301116583,0.2650908305715425,0.2877314277716484,2.2972222222222225,7.677361111111111,0.09829073444773498
high5step_complexity,0.3263292836762921,0.18629060771580241,0.38656361528478833,0.11304917624396708,2.0361111111111114,6.619027777777777,0.10649080138468196
state_based,0.4601623877219694,0.05466339205489989,0.2493911205395664,0.3182782100353715,2.4083333333333337,9.244027777777777,0.2117494230739841
