Gene
IL36A (27179)
IL36B (27177)
IL36RN (26525)
IL9 (3578)
INS (3630)
INSL5 (10022)
INSL6 (11172)
INSM2 (84684)
INSRR (3645)
IQCF1 (132141)
IRGC (56269)
ISX (91464)
IZUMO2 (126123)
KASH5 (147872)
KCNA10 (3744)
KCNB2 (9312)
KCNG4 (93107)
KCNK10 (54207)
KCNK16 (83795)
KCNK18 (338567)
KCNV1 (27012)
KHDC3L (154288)
KIF2B (84643)
KIR2DL1 (3802)
KIR3DL3 (115653)
KLK12 (43849)
KLK9 (284366)
KRT2 (3849)
KRT25 (147183)
KRT26 (353288)
KRT28 (162605)
KRT33A (3883)
KRT35 (3886)
KRT36 (8689)
KRT37 (8688)
KRT38 (8687)
KRT40 (125115)
KRT71 (112802)
KRT73 (319101)
KRT74 (121391)
KRT75 (9119)
KRT76 (51350)
KRT77 (374454)
KRT78 (196374)
KRT82 (3888)
KRT84 (3890)
KRT85 (3891)
KRT86 (3892)
KRT9 (3857)
KRTAP1-1 (81851)
KRTAP10-1 (386677)
KRTAP10-10 (353333)
KRTAP10-11 (386678)
KRTAP10-12 (386685)
KRTAP10-2 (386679)
KRTAP10-4 (386672)
KRTAP10-5 (386680)
KRTAP10-6 (386674)
KRTAP10-8 (386681)
KRTAP10-9 (386676)
KRTAP11-1 (337880)
KRTAP13-1 (140258)
KRTAP13-2 (337959)
KRTAP13-3 (337960)
KRTAP13-4 (284827)
KRTAP15-1 (254950)
KRTAP17-1 (83902)
KRTAP19-3 (337970)
KRTAP23-1 (337963)
KRTAP26-1 (388818)
KRTAP3-2 (83897)
KRTAP4-11 (653240)
KRTAP4-12 (83755)
KRTAP4-2 (85291)
KRTAP4-4 (84616)
KRTAP4-7 (100132476)
KRTAP5-2 (440021)
KRTAP9-2 (83899)
KRTAP9-3 (83900)
KRTAP9-4 (85280)
LALBA (3906)
LBX1 (10660)
LCN9 (392399)
LCT (3938)
LGALS13 (29124)
LGALS14 (56891)
LHFPL5 (222662)
LHX3 (8022)
LHX5 (64211)
LIM2 (3982)
LIN28A (79727)
LINC01599 (196913)
LIPM (340654)
LORICRIN (4014)
LRIT1 (26103)
LRIT2 (340745)
LRRC10 (376132)
LYZL1 (84569)
LYZL6 (57151)
MAS1 (4142)
MAS1L (116511)
MBD3L1 (85509)
MBD3L2 (125997)
MBL2 (4153)
MC2R (4158)
MC3R (4159)
MC5R (4161)
MEP1A (4224)
MEP1B (4225)
MEPE (56955)
MFRP (83552)
MMD2 (221938)
MMP20 (9313)
MMP21 (118856)
MMP26 (56547)
MMP27 (64066)
MOGAT3 (346606)
MORC1 (27136)
MRGPRD (116512)
MRGPRX1 (259249)
MRGPRX2 (117194)
MRGPRX4 (117196)
MS4A10 (341116)
MS4A13 (503497)
MS4A5 (64232)
MSGN1 (343930)
MT1B (4490)
MTNR1B (4544)
MUC17 (140453)
MUC7 (4589)
MUCL3 (135656)
MYBPC3 (4607)
MYF5 (4617)
NANOGNB (360030)
NANOS2 (339345)
NCR2 (9436)
NDST4 (64579)
NEUROD2 (4761)
NEUROD4 (58158)
NEUROD6 (63974)
NEUROG1 (4762)
NKX2-1 (7080)
NKX2-2 (4821)
NLRP4 (147945)
NLRP5 (126206)
NLRP8 (126205)
NLRP9 (338321)
NMS (129521)
NOTO (344022)
NOX3 (50508)
NPFFR1 (64106)
NPHS2 (7827)
NPSR1 (387129)
NPVF (64111)
NR2E1 (7101)
OC90 (729330)
OLIG2 (10215)
OLIG3 (167826)
OPALIN (93377)
OPN5 (221391)
OR10A2 (341276)
OR10A4 (283297)
OR10A5 (144124)
OR10H1 (26539)
OR10H2 (26538)
OR10H3 (26532)
OR10J1 (26476)
OR10R2 (343406)
OR10S1 (219873)
OR10X1 (128367)
OR10Z1 (128368)
OR11A1 (26531)
OR12D2 (26529)
OR12D3 (81797)
OR13C3 (138803)
OR13D1 (286365)
OR14A16 (284532)
OR1A1 (8383)
OR1A2 (26189)
OR1B1 (347169)
OR1D2 (4991)
OR1E1 (8387)
OR1E2 (8388)
OR1G1 (8390)
OR1L6 (392390)
OR1N2 (138882)
OR1S1 (219959)
OR1S2 (219958)
OR2AK2 (391191)
OR2AT4 (341152)
OR2C1 (4993)
OR2C3 (81472)
OR2D2 (120776)
OR2D3 (120775)
OR2F1 (26211)
OR2G2 (81470)
OR2G3 (81469)
OR2H1 (26716)
OR2J2 (26707)
OR2L3 (391192)
OR2T1 (26696)
OR2T10 (127069)
OR2T12 (127064)
OR2T2 (401992)
OR2T27 (403239)
OR2T33 (391195)
OR2T4 (127074)
OR2T5 (401993)
OR2W1 (26692)
OR3A1 (4994)
OR3A2 (4995)
OR3A3 (8392)
OR4C11 (219429)
OR4C3 (256144)
OR4D1 (26689)
OR4D10 (390197)
OR4D11 (219986)
OR4D9 (390199)
OR4K17 (390436)
OR51B6 (390058)
OR51D1 (390038)
OR51F2 (119694)
OR51T1 (401665)
OR51V1 (283111)
OR52A1 (23538)
OR52A5 (390054)
OR52B2 (255725)
OR52B6 (340980)
OR52E8 (390079)
OR52I2 (143502)
OR52K2 (119774)
OR52L1 (338751)
OR52M1 (119772)
OR52R1 (119695)
OR52W1 (120787)
OR56A1 (120796)
OR56A4 (120793)
OR56B1 (387748)
OR5AU1 (390445)
OR5C1 (392391)
OR5I1 (10798)
OR5M1 (390168)
OR5M10 (390167)
OR5P2 (120065)
OR5P3 (120066)
OR5T1 (390155)
OR5T2 (219464)
OR5T3 (390154)
OR5V1 (81696)
OR5W2 (390148)
OR6A2 (8590)
OR6K6 (128371)
OR6S1 (341799)
OR6V1 (346517)
OR7A17 (26333)
OR7C2 (26658)
OR7D4 (125958)
OR7G2 (390882)
OR8A1 (390275)
OR8B8 (26493)
OR8G5 (219865)
OR8U1 (219417)
OR8U3 (219479)
OR9Q2 (219957)
OTOP1 (133060)
OTOP3 (347741)
OTOR (56914)
OTP (23440)
OTX2 (5015)
PANX3 (116337)
PAX1 (5075)
PAX4 (5078)
PBOV1 (59351)
PCARE (388939)
PDCL2 (132954)
PDE6H (5149)
PDILT (204474)
PDX1 (3651)
PDYN (5173)
PGK2 (5232)
PGLYRP2 (114770)
PGLYRP3 (114771)
PIWIL1 (9271)
PIWIL3 (440822)
PLA2G2E (30814)
PLA2G2F (64600)
PLA2G4E (123745)
PNLIP (5406)
PNLIPRP1 (5407)
PNPLA5 (150379)
POM121L12 (285877)
POTED (317754)
POTEG (404785)
POTEH (23784)
POU4F2 (5458)
POU4F3 (5459)
POU5F2 (134187)
PPP3R2 (5535)
PRAMEF1 (65121)
PRAMEF2 (65122)
PRAMEF4 (400735)
PRAMEF7 (441871)
PRB1 (5542)
PRB4 (5545)
PRDM13 (59336)
PRDM14 (63978)
PRDM7 (11105)
PRDM9 (56979)
PRG3 (10394)
PRLH (51052)
PRLHR (2834)
PROP1 (5626)
PRSS33 (260429)
PRSS37 (136242)
PRSS38 (339501)
PRSS55 (203074)
PRSS58 (136541)
PSKH2 (85481)
PTF1A (256297)
RAX (30062)
RAX2 (84839)
RBM46 (166863)
RBMXL2 (27288)
RBP3 (5949)
RBPJL (11317)
RD3 (343035)
RDH8 (50700)
REG3A (5068)
RESP18 (389075)
RETNLB (84666)
RFPL3 (10738)
RFPL4B (442247)
RFX6 (222546)
RHO (6010)
RNASE10 (338879)
RNASE11 (122651)
RNASE12 (493901)
RNASE13 (440163)
RNASE8 (122665)
RNASE9 (390443)
RND2 (8153)
RNF113B (140432)
RNF17 (56163)
RP1 (6101)
RP1L1 (94137)
RPE65 (6121)
RPTN (126638)
RTP1 (132112)
RTP2 (344892)
RXFP2 (122042)
RXFP3 (51289)
S100A7A (338324)
SAMD7 (344658)
SCGB1D1 (10648)
SCN10A (6336)
SCRT2 (85508)
SDR9C7 (121214)
SEC14L3 (266629)
SEMG2 (6407)
SEPTIN14 (346288)
SERPINA12 (145264)
SERPINA9 (327657)
SERPINB12 (89777)
SHCBP1L (81626)
SI (6476)
SIGLECL1 (284369)
SIX6 (4990)
SLC10A2 (6555)
SLC13A1 (6561)
SLC17A2 (10246)
SLC17A6 (57084)
SLC18A3 (6572)
SLC22A12 (116085)
SLC22A13 (9390)
SLC22A25 (387601)
SLC22A6 (9356)
SLC22A8 (9376)
SLC22A9 (114571)
SLC25A2 (83884)
SLC25A31 (83447)
SLC2A2 (6514)
SLC2A7 (155184)
SLC32A1 (140679)
SLC34A1 (6569)
SLC36A3 (285641)
SLC39A12 (221074)
SLC6A18 (348932)
SLC6A5 (9152)
SLC6A7 (6534)
SLC7A13 (157724)
SLCO1B1 (10599)
SLCO6A1 (133482)
SLITRK1 (114798)
SOHLH1 (402381)
SOX1 (6656)
SOX14 (8403)
SP8 (221833)
SPACA1 (81833)
SPACA7 (122258)
SPATA16 (83893)
SPATA21 (374955)
SPEM1 (374768)
SPHAR (10638)
SPINK14 (408187)
SPO11 (23626)
SPPL2C (162540)
SPRR4 (163778)
SSTR4 (6754)
STATH (6779)
STPG4 (285051)
SULT6B1 (391365)
SUN5 (140732)
TAAR1 (134864)
TAAR2 (9287)
TAAR5 (9038)
TAAR6 (319100)
TAAR8 (83551)
TAS1R2 (80834)
TAS2R1 (50834)
TAS2R13 (50838)
TAS2R16 (50833)
TAS2R39 (259285)
TAS2R40 (259286)
TAS2R41 (259287)
TAS2R42 (353164)
TAS2R43 (259289)
TAS2R46 (259292)
TAS2R50 (259296)
TAS2R60 (338398)
TAS2R7 (50837)
TAS2R8 (50836)
TAS2R9 (50835)
TBC1D21 (161514)
TBC1D29P (26083)
TBPL2 (387332)
TBR1 (10716)
TBX10 (347853)
TBXT (6862)
TCHHL1 (126637)
TCP10L2 (401285)
TEDDM1 (127670)
TEX101 (83639)
TEX44 (165100)
TEX45 (374877)
TEX55 (152405)
TFAP2D (83741)
TGM6 (343641)
TKTL2 (84076)
TLX1 (3195)
TMEM132D (121256)
TMEM132E-DT (400591)
TMEM174 (134288)
TMEM207 (131920)
TMEM225 (338661)
TMIGD1 (388364)
TMPRSS11A (339967)
TMPRSS11B (132724)
TMPRSS11F (389208)
TMPRSS12 (283471)
TMPRSS15 (5651)
TNR (7143)
TPD52L3 (89882)
TPH2 (121278)
TPRX1 (284355)
TPTE (7179)
TREML4 (285852)
TRHR (7201)
TRIM40 (135644)
TRIM42 (287015)
TRIM43 (129868)
TRIM48 (79097)
TRIM60 (166655)
TRIM67 (440730)
TRIML1 (339976)
TRPC7 (57113)
TRPM1 (4308)
TRPV5 (56302)
TSBP1 (10665)
TSGA13 (114960)
TSHB (7252)
TSPAN16 (26526)
TSPO2 (222642)
TSPYL6 (388951)
TSSK1B (83942)
TSSK2 (23617)
TXNDC8 (255220)
TYR (7299)
UBQLN3 (50613)
UMOD (7369)
UROC1 (131669)
USP17L2 (377630)
USP29 (57663)
UTS2R (2837)
VAX1 (11023)
VN1R2 (317701)
VN1R4 (317703)
VPREB1 (7441)
VRTN (55237)
VSX2 (338917)
WFDC10A (140832)
WFDC11 (259239)
WFDC9 (259240)
XKR7 (343702)
ZG16 (653808)
ZIM3 (114026)
ZNF648 (127665)
ZNF679 (168417)
ZNF804B (219578)
ZNRF4 (148066)
ZP2 (7783)
ZP4 (57829)
ZSWIM2 (151112)
