Hugo_Symbol	C3L-02707	C3N-02786	C3N-01505	C3N-02783	C3L-01040	C3L-00104	C3L-03387	C3N-01364	C3N-01816	C3N-02770	C3N-00665	C3N-01518	C3N-01334	C3N-02256	C3L-01327	C3N-03186	C3L-03405	C3N-02788	C3L-01887	C3N-03088	C3L-02705	C3N-02186	C3L-01048	C3N-01814	C3N-00661	C3N-01368	C3L-03681	C3N-02784	C3L-00365	C3L-03407	C3N-02183	C3N-01369	C3L-03744	C3N-03070	C3L-02542	C3L-01149	C3N-03473	C3L-02984	C3L-03728	C3N-02782	C3N-01852	C3L-01061	C3N-01196	C3N-02190	C3N-01798	C3N-01815	C3L-00677	C3L-01156	C3N-03188	C3N-01366	C3N-00663	C3L-01154	C3L-03260	C3N-01818	C3N-02181	C3L-02642	C3N-01192	C3L-00674	C3N-00662	C3N-02255	C3L-03968	C3L-01155	C3L-03748	C3N-01856	C3L-04084	C3L-03392	C3N-02769	C3N-03184	C3L-03390	C3L-01157	C3L-01142	C3L-01834	C3L-01045	C3L-02970	C3L-01049	C3N-01857	C3L-03266	C3N-01515	C3L-02708	C3L-03727	C3L-02704	C3L-02504	C3N-02785	C3L-01043	C3N-03183	C3N-01517	C3N-03182	C3L-02465	C3N-01851	C3L-02041	C3N-02185	C3L-03400	C3N-02188	C3L-02955	C3L-02900	C3L-01046	C3N-01367
MGMT	0.9296048695292701	0.9311906582856129	NA	0.908744868658443	0.9617301082924591	0.7995096965055122	0.939749980279727	0.937103571339629	0.881959114593708	0.928001594421673	0.911201942198121	0.923632343392403	0.9442137588774959	0.9076980821779309	0.9373211755530659	0.935026148982223	0.7131200024840009	0.7344429196519608	0.835863728607413	0.932820856602249	0.9252568441333209	0.9229198425243891	0.7408247490833599	0.791193708307207	0.923596381883602	NA	0.8810250064048241	0.833214079177614	0.935723897765692	0.9168670626123481	0.8854677058030641	0.973715701389338	0.8917675363647841	0.943980337250213	0.9069280754075258	0.902773470087515	0.8845270675693799	0.933324500707195	0.896971250535002	0.9204746438485849	0.9276548905236651	0.94231966237112	0.9242192260307801	0.897832048653311	0.849149123523721	0.8801273992441491	0.9187320664482379	0.9232132995973159	0.930510897011218	0.889471835238851	0.911425464214305	0.907100231623205	0.92788067435921	0.9178857094310949	0.9115522279472921	0.925973116774572	0.9314587815424681	0.9370066921342499	NA	0.891061608768957	0.7630368856374441	0.942661315848662	0.881775444196573	0.843712462691398	0.941349333171935	0.9578480012776491	0.8957561201431221	0.914235923620936	0.952196203402116	0.9129609485988359	0.9221607803949592	0.9562909125481701	0.8832036433799949	0.899042352274532	0.9120104943543058	0.9447598955161899	0.937123396484868	0.9321352002326021	0.66621333461887	0.828764753301367	0.9121957953752651	0.852957665972646	0.8807182079799158	0.9150122161590349	0.888750044780484	0.93243913805546	0.714138918225045	0.937665746683809	0.9243176266427929	0.9026038756434491	0.947781717196947	0.9174499612955479	0.615200770017308	0.9107073877749309	0.9008381061484421	0.8565736652297059	0.9024391021983309
MGMT	0.888837687148231	0.9097613746837769	NA	0.7677815646591021	0.941019310549314	0.7790387353391309	0.501814979012376	0.916497840268292	0.828845537296727	0.854820200379157	0.8888459013987049	0.775067871942226	0.926461303644717	0.43074844481070707	0.7831674273325491	0.87557008807496	0.7782725164029899	0.548410368169286	0.8249747776017271	0.838853347472112	0.77963364263531	0.8762581731476891	0.22778606189374498	NA	0.610779439629221	NA	0.838712606689602	NA	0.921552996131175	0.8780883020111708	0.8561487682612149	0.952144958359385	0.8736578500442851	0.785177471049572	0.19752659673167702	0.8521646990942792	0.18139839416273804	0.690440661262833	0.892748649554019	0.897234333906256	0.901148875943013	0.8943970420472841	0.8681785972090341	0.8572629084694301	0.4257972204840829	0.40242245456987397	0.5836429133195871	0.861509040434293	0.7428303603075029	0.342087276922249	0.860687364545	0.8455516079044041	0.905457980180739	0.7725705069201291	0.7716048829166551	0.909649947212927	0.852743087482312	0.911720959261144	NA	0.736122933807067	0.29887462331329806	0.9011961389945029	0.8374722680445649	0.608963514998917	0.907306192108343	0.9248809609039971	0.466532288009834	0.7161374998990241	0.16737095319017903	0.9168594126015991	0.922246806942205	0.957931285764855	0.7729972816981759	0.842705124203808	0.778319818070643	0.886031704790243	0.872795914431745	0.9126287299550051	0.640381615656174	0.9065060154701291	0.894170102634055	0.647441101815799	0.84029288394345	0.717424782055375	0.8450570369931499	0.880285105163203	0.7255083217654	0.926774162693582	0.66739409808989	0.7913136546239421	0.9271836981155219	0.909014520388431	0.22377849810130998	0.8656936573202441	0.494776952975552	0.658646427590168	0.893237573690188
MGMT	0.380790647871361	0.61132007670347	NA	0.449143801471368	0.748642555617518	NA	0.790268795028501	0.873716189455323	0.39989808423123097	0.390458871766343	0.532356155637914	0.570090188276859	0.705115130021206	0.49195977891392106	0.867905095435198	0.649076375297468	0.7207981776128539	0.34340992717531704	0.62365205323624	0.5021732869894989	0.661182045436413	0.5500321027551629	0.35862244168468105	NA	0.45845650379338204	NA	0.31873477672274103	0.6204292907589201	0.8453893422185358	0.5158996802104729	0.36210025277727903	NA	0.44065818525287703	NA	0.7802316751375941	0.375812013500654	0.282550284260562	0.560760790206194	0.814350620663776	0.556024278936381	0.488456998236215	0.47988277945318997	0.892017989545242	0.564993605554005	0.3950850133963521	0.047157304122313	0.7661707766798209	0.56289920772115	0.6250756806961341	0.425363113928909	0.416743526955536	0.5933116376145889	0.5164113575489551	0.593833254621494	0.64673427692078	0.5092099985914871	0.621285580543936	0.806508735660063	NA	0.841109205185047	0.500262944593674	0.373223497258404	NA	0.383242402819477	0.62907529387201	0.6475545379844599	0.587082998983209	0.436981779225217	0.60309978540214	0.5365101059366211	0.535479650122837	NA	0.449438100767017	0.6567869622939929	0.6278531162702309	0.7683450683676469	0.46779632628529294	0.9107905999245591	0.38036115869482395	0.5208178345040271	0.6783498128506149	0.41061714487583206	0.5723446454608571	0.757123638152295	0.4847362756639729	0.451925266698002	0.7699683872068229	0.800861745185024	0.759757277375706	0.6246438523019201	0.57960654574017	0.718426021898894	0.0231496050249441	0.600093852431204	0.6673377491067621	0.120703447470358	0.859936715520747
MGMT	0.0266886095883009	0.0430451770385468	NA	0.0600492303290234	0.502693017494597	0.0125912307554154	0.65836704499814	0.0170174985556752	0.0619739173144395	0.0192009189765282	0.5683277334990681	0.35108652866630896	0.065586363737457	0.0558746875241646	0.36803230781247204	0.0639053933950377	0.361334240764691	0.165293654244374	0.110824425909482	0.0740004986373081	0.523322184818334	0.047186417087369	0.544362291545789	0.328270338734328	0.0320944237318328	NA	0.0586963478687755	0.0954786245590454	0.058531563704586	0.20692273710278697	0.0520430525145965	0.00456978994236895	0.5859055427070611	0.801145180572382	0.476427658782041	0.942196248476083	0.0113990763572055	0.108574793920861	0.0850222683819615	0.0775455925672141	0.0332279217870681	0.0301564236768879	0.119939088571231	0.0530863864481885	0.0691650471235021	NA	0.46818407054795297	0.0344993177769231	0.162395713618225	0.5757690042943671	0.287115427236201	0.0283237543082262	0.0366124561556958	0.041699725313622	0.240926252314938	0.0609723891860674	0.425060853667385	0.0649504462200085	NA	0.0204678314839769	0.11894098238482598	0.0150245788433999	0.0238486765152174	0.0835646321562274	0.0520837898716883	0.0213873490603128	0.137857088674301	0.0751804628729616	0.8071067557724351	0.0694342023059574	0.0455373181392352	0.0606080065143679	0.613907964174379	0.0572257496872561	0.0353867797779676	0.0294227532951309	0.118704445189069	0.0334276617619622	0.809854825725239	0.225726965032393	0.0435748811714272	0.657707500650836	0.0578076650558047	0.0298421541548503	0.0652651755795771	0.0338740075823561	0.545667328801379	0.0477556024659355	0.0260874652120729	0.259922958720757	0.0393933091562246	0.373312850957067	NA	0.0807651858987317	0.694975500568088	NA	0.0423204199087593
MGMT	0.9364194425399351	0.9513739479202901	NA	0.946996954857301	0.9307030761370501	0.904158644845682	0.9499471714049781	0.9530693430772321	0.8975961109410329	0.854560718342126	0.9354126565336	0.941481811699682	0.9332953815460371	0.9150947141705841	0.936170352152202	0.94547098731509	0.9061622758938309	0.8798352437191109	0.920295610442872	0.9289035994512309	0.952128478432239	0.9122352571580601	0.934554650775421	NA	0.952908844909343	NA	0.897800120035038	NA	0.946224341350241	0.929450703515055	0.890902807215746	0.9442033978571859	0.941791522487007	0.9311242008833029	0.901978654356545	0.869071651533124	0.9006798826235641	0.9537179680073891	0.942695895951499	0.940631736323294	0.917207007639507	0.9297891321742371	0.9364615003635078	0.914223776799529	0.8624949637518979	NA	0.944838807375458	0.929168733406682	0.955183565184412	0.9451189645923941	0.9411877575506981	0.9147029065236708	0.9591272359309121	0.923411689875782	0.8327979710014699	0.930852754410872	0.9507339906370931	0.955666127068408	NA	0.961796259031024	0.244425353522432	0.93560142454411	0.93530859532416	0.8907186700204369	0.9371456716004771	0.952503073869842	0.9339627465849709	0.9056361432277429	0.9442093206170191	0.921716448311239	0.9504084396689159	0.9616525623933541	0.8697874630147908	0.900100514486044	0.9294364865838829	0.9055293491056708	0.9291999640590981	0.953050256496532	0.9489940712889059	0.942967974970068	0.937040139572784	0.79890550494192	0.923021752531697	0.9403281204985809	0.896233268279956	0.887441611730302	0.940445940428485	0.9410747974720709	0.7103630732891808	0.9169955275223531	0.9015204813664921	0.9315286536006121	0.0531822170236761	0.9402320936116422	0.953355206306998	NA	0.950831916955025
MGMT	0.860416612395699	0.9070668751150129	NA	0.8707894289523141	0.945849401788457	0.800236791699547	0.8989780766846558	0.9117546669649319	0.8039052678170219	0.8272264078695128	0.672562837952715	0.858975682995489	0.8889751156779521	0.40288447166334296	0.757122459765969	0.9080065236053342	0.643334256101974	0.33988842037520295	0.835576263932605	0.903539205901639	0.9436232394342511	0.8705255215094649	0.8873649507121791	NA	0.8869160032502501	NA	0.8019242157892321	0.831987169523332	0.9170514040282808	0.8659606128731729	0.810130182283027	0.914526058633283	0.880143492991647	0.734344585094879	0.859466480954005	0.815412596699865	0.6971062495641801	0.91087161682002	0.907902418976548	0.896673870269852	0.909346136086239	0.8976542962623991	0.601181634230864	0.834102793972092	0.31703191698231603	NA	0.704750453125716	0.875342056532267	0.87263163794542	0.912197865935245	0.8824338563696809	0.8217845780512301	0.902402748672062	0.8808104467505029	0.7289584211437351	0.883121741293533	0.6149187344334239	0.9336612439493729	NA	0.9018455004546779	0.5652964465992739	0.681822208583903	0.853547038535987	0.797622992177429	0.9027553876306321	0.9071632102809201	0.49814633284886894	0.538437255045025	0.9126827648789839	0.8893685288128209	0.8994293563480121	0.9473733461114999	0.8263617543117321	0.884734624898812	0.902323852352035	0.880779656536809	0.886692544626043	0.7832967858277421	0.866933614941855	0.9015146232628081	0.913527082225997	0.747011102018674	0.8902939675011731	0.8703540542001009	0.83433037949103	0.813134722593916	0.465741544614866	0.906532811059571	0.91207212969649	0.780230561735764	0.90016387039086	0.8382734157540791	0.51423440696417	0.9198534674975709	0.44719248727272204	NA	0.8522988968606429
MGMT	0.426510450098281	0.8202479351620742	0.0456927577667552	0.751204815103919	0.654841052374049	0.598099969940058	0.696658674105332	0.8458525139052329	0.826058968732162	0.572609870949772	0.47436059050529905	0.772748107690973	0.7667469170727751	0.461799951561582	0.5117271327753	0.797230357434478	0.44269462934222104	0.43939738276114204	0.609241691002516	0.754630534530352	0.65791780714516	0.642216856436709	0.673662662055613	0.529489748824984	0.849756076880542	NA	0.8124064200790091	0.758168106058231	0.526293847746683	0.805216501002146	0.794454408335083	0.595752104409403	0.8183304057741159	0.552297383106136	0.315759550171157	0.7580142737970841	0.445055955692287	0.874839525135218	0.6848510561135711	0.6254029196804229	0.7533919986560601	0.7616898064986859	0.7319897303409341	0.563990372080171	0.46723239461215293	0.8679562496046451	0.6960877739449841	0.672573352192581	0.593806398641844	0.450967811297678	0.77935158374722	0.654483624612516	0.49723196320489293	0.789424908943807	0.517438765805415	0.8332721083094791	0.8030366692212242	0.819994045067019	NA	0.48409130122309796	0.38759167360393204	0.730404354678144	0.46167524077377	0.728891369100409	0.81021710132151	0.8879512826197851	0.43072777978298	0.741105319500124	0.7849745200286679	0.572244463372775	0.790048063284995	0.74583456305445	0.683471037091905	0.500849939721121	0.744823829554923	0.695348237608915	0.623832036417277	0.791130618397236	0.36998705660584	0.42326837213476004	0.8104352689640101	0.346297907829047	0.312962506361778	0.685047471189173	0.7897880730816129	0.7085443937343641	0.494399437193168	0.787796581456682	0.521843030882359	0.5260312014667841	0.6733658942535999	0.671762092693676	0.9439293315439821	0.7226361678054871	0.643720970067368	0.8460076498150171	0.806817149591056
RP11-109A6.2;MGMT	0.906627589831446	0.924997443790702	NA	0.920196857792789	0.923544574292993	0.8969995032632071	0.9334000536894108	0.9353194076185791	0.8269922438534371	0.8933321847127751	0.913293793909216	0.8879895972999449	0.927642612568505	0.931608504223617	0.9322717129619	0.9141951641672091	0.925967302196631	0.8514523639279291	0.862130808320846	0.930162429959	0.95256107135949	0.9042359084924271	0.919871027093147	NA	0.922941513441518	NA	0.8486092418054471	0.883542499604215	0.9314694026297241	0.893999943931337	0.864606795365909	0.835491341252252	0.9275095279468749	0.9189029206361371	0.9141884988137479	0.8499346330382159	0.910947906762711	0.9310058626571551	0.909512656324098	0.9077230850646941	0.918911625536208	0.9183842450548759	0.9249989895978961	0.88350460253527	0.8273244100641641	NA	0.855838387148485	0.908374522013077	0.9200200728294191	0.6707017791194361	0.9263071510117641	0.8822154410299091	0.935013988907579	0.919067500136486	0.88763407776244	0.9257964483136821	0.9199219552440799	0.9399978972823628	NA	0.9474765250483079	0.9121626456208191	0.88211638479688	0.8858271906115609	0.664387551604437	0.9138167801462491	0.940487189532443	0.9096870745279799	0.9061883981418491	0.938064428105202	0.917767188836307	0.9245596742647909	0.972567507033509	0.871500194345513	0.902004034065718	0.8912310193539351	0.905030632527833	0.9104920914906469	0.8257286746162391	0.9522881242148841	0.9241325402368921	0.9171332986088578	0.8920800180422009	0.8975588932204871	0.9117627531313041	0.859939685905257	0.889902723858618	0.830631823897276	0.9134966810809619	0.913219664499859	0.94910408759638	0.910027666762882	0.924136838582896	0.545633078551409	0.9231346984625229	0.947852351003186	NA	0.9031687606817309
MGMT	0.0524590786324119	0.5115660050673859	0.250653157137282	0.132792912972314	0.39286116917035796	0.123877563922229	0.49552537531404206	0.105989559543004	0.0387292970925482	0.0562310572428892	0.16216293753980898	0.27954902072265303	0.11719062320592699	0.136471507472593	0.552768278989301	0.11794727141458802	0.5523915408876949	0.519047428853457	0.155055077327583	0.257815927735484	0.433338427504692	0.0902176581794669	0.20422249277501	0.384392479485974	0.159989083217673	NA	0.14582016892834498	0.10849947313328899	0.0547207517650653	0.131821881305601	0.178612937899642	0.0886943744800769	0.40764115708962395	0.7253317453011221	0.719975959224481	0.268859614822512	0.0125727354827845	0.49926655759223	0.14222471866413197	0.577065332074092	0.263717596011305	0.10760352316571399	0.662102665810574	0.15688603122102898	0.10043497324089698	0.8668920447677679	0.342710005971187	0.280581020097888	0.324457642862576	0.596302802285594	0.0987248879066987	0.18969667770672	0.18951426070223498	0.11854277157226299	0.200475148981058	0.5627237122161739	0.19998045253659805	0.226549858099029	NA	0.134895074487796	0.375040657890649	0.0763611751261168	0.0466404059579173	0.49662243782339605	0.413967002976946	0.15072407099167903	0.11680993025728399	0.0523486820367147	0.7907992359540219	0.25608558540585896	0.10718045472502198	0.34278902307165804	0.652715998404845	0.0747413495990999	0.0605575484507498	0.0953231572873554	0.11769541517297301	0.0995333733144713	0.533228429546619	0.326069881836284	0.5594344524134289	0.57360377521665	0.105681573534595	0.11161301912847099	0.10789383586221302	0.0744558168354953	0.23161746153988297	0.0778108714724539	0.0692948741480323	0.40346429542785794	0.615555014301475	0.421490532764075	NA	0.231544326635025	0.43849120925457	0.8652250958730758	0.25813392322545
MGMT	0.829345387679635	0.8334189138371592	NA	0.8084107325938779	0.8730742826920951	0.711731550087867	0.783249365304856	0.8331498350671801	0.686663537927695	0.787831683258924	0.5930676396349019	0.756501300568054	0.851007107509647	0.548505255500781	0.7746328280020359	0.8498570481795341	0.695527359583203	0.526691894770705	0.8273224315991039	0.849161551066978	0.866421682287273	0.820558006668615	0.6250380165829921	NA	0.746029570349977	NA	0.7057161759371909	NA	0.8561274987844392	0.7914825944244571	0.7632917252841529	0.9370375193669541	0.7489479535932242	0.37737813141677096	0.7249546178171159	0.7490663677597329	0.800666814573032	0.834773542514967	0.8303380739498891	0.8508291964383871	0.8406232894484079	0.832806740233388	0.853911257066218	0.789539854565226	0.4714294409538689	NA	0.5439367547112339	0.833007960580258	0.808379048004805	0.679040077864829	0.826309932611037	0.7221530613909369	0.8399666017637671	0.8434221587249159	0.707479098474759	0.835801457663138	0.7995123327455251	0.847538188482648	NA	0.7348565663512869	0.345861519685995	0.7395119886363299	0.59602681013311	0.657156085027516	0.83751073383358	0.7934074884047091	0.6408978949650029	0.656391745204355	0.29736195668522303	0.8046364935389321	0.826870171556884	0.957609275996234	0.712963136342063	0.819498910903489	0.854389597409005	0.86034601098366	0.56796379188525	0.844539429687233	0.247119664334427	0.762842459074678	0.8059002295819742	0.375504272799896	0.7805726167371958	0.8226764291981571	0.7186192185339331	0.6857464192360561	0.603895805804178	0.8499374663049201	0.803477908760685	0.619787292649153	0.8353909087893822	0.820053102824694	NA	0.8374865684412449	0.631410283611388	NA	0.8519796167423059
